run,single_threaded,multi_threaded
0,171.0946,89.0494
1,153.8459,15.3804
2,28.2841,20.6826
3,278.7462,68.9918
4,93.2770,25.1470
5,115.1203,104.2480
6,74.5789,12.1984
7,35.3067,53.0004
8,153.7307,133.9141
9,91.1074,34.5669
