t=102.323978
t=105.437785
t=22.808869
t=154.065308
t=74.592380
t=232.016380
t=148.564961
t=201.163644
t=64.026667
t=42.039665
t=48.791094
t=114.485990
t=153.346834
t=82.637324
t=135.711615
t=137.252846
t=60.441334
t=37.760144
t=48.274837
t=44.271568
