k=32, mu=1500000000, d=1.5e-08, t=121.148779
k=32, mu=1500000000, d=1.5e-08, t=106.269759
k=32, mu=1500000000, d=5.0e-08, t=136.051122
k=32, mu=1500000000, d=5.0e-08, t=28.891965
k=32, mu=1500000000, d=5.0e-08, t=69.483050
k=32, mu=2147483648, d=1.0e-10, t=166.409781
k=32, mu=2147483648, d=1.0e-10, t=118.500130
k=32, mu=2147483648, d=1.0e-10, t=277.692017
k=32, mu=2147483648, d=5.0e-09, t=31.132228
k=32, mu=2147483648, d=5.0e-09, t=97.944075
k=32, mu=2147483648, d=5.0e-09, t=45.873599
k=32, mu=2147483648, d=1.5e-08, t=146.340495
k=32, mu=2147483648, d=1.5e-08, t=39.080212
k=32, mu=2147483648, d=1.5e-08, t=34.353668
k=32, mu=2147483648, d=5.0e-08, t=64.897969
k=32, mu=2147483648, d=5.0e-08, t=119.259093
k=32, mu=2147483648, d=5.0e-08, t=46.260780
k=32, mu=3000000000, d=1.0e-10, t=251.395749
k=32, mu=3000000000, d=1.0e-10, t=312.555978
k=32, mu=3000000000, d=1.0e-10, t=227.816200
k=32, mu=3000000000, d=5.0e-09, t=59.886597
k=32, mu=3000000000, d=5.0e-09, t=158.023509
k=32, mu=3000000000, d=5.0e-09, t=134.030450
k=32, mu=3000000000, d=1.5e-08, t=152.468925
k=32, mu=3000000000, d=1.5e-08, t=128.112674
k=32, mu=3000000000, d=1.5e-08, t=17.109573
k=32, mu=3000000000, d=5.0e-08, t=95.937647
k=32, mu=3000000000, d=5.0e-08, t=69.576294
k=32, mu=3000000000, d=5.0e-08, t=86.981969
k=64, mu=500000000, d=1.0e-10, t=102.820492
k=64, mu=500000000, d=1.0e-10, t=115.373638
k=64, mu=500000000, d=1.0e-10, t=181.937373
k=64, mu=500000000, d=5.0e-09, t=177.919037
k=64, mu=500000000, d=5.0e-09, t=23.114843
k=64, mu=500000000, d=5.0e-09, t=38.810258
k=64, mu=500000000, d=1.5e-08, t=96.396737
k=64, mu=500000000, d=1.5e-08, t=18.844715
k=64, mu=500000000, d=1.5e-08, t=52.282775
k=64, mu=500000000, d=5.0e-08, t=34.361749
k=64, mu=500000000, d=5.0e-08, t=120.148105
k=64, mu=500000000, d=5.0e-08, t=60.626733
k=64, mu=1500000000, d=1.0e-10, t=170.024698
k=64, mu=1500000000, d=1.0e-10, t=112.875668
k=64, mu=1500000000, d=1.0e-10, t=180.604435
k=64, mu=1500000000, d=5.0e-09, t=124.080142
k=64, mu=1500000000, d=5.0e-09, t=112.650159
k=64, mu=1500000000, d=5.0e-09, t=147.124151
k=64, mu=1500000000, d=1.5e-08, t=69.279654
k=64, mu=1500000000, d=1.5e-08, t=52.524183
k=64, mu=1500000000, d=1.5e-08, t=19.759191
k=64, mu=1500000000, d=5.0e-08, t=47.541962
k=64, mu=1500000000, d=5.0e-08, t=1.751462
k=64, mu=1500000000, d=5.0e-08, t=102.406320
k=64, mu=2147483648, d=1.0e-10, t=130.158142
k=64, mu=2147483648, d=1.0e-10, t=205.822038
k=64, mu=2147483648, d=1.0e-10, t=256.446704
k=64, mu=2147483648, d=5.0e-09, t=12.666129
k=64, mu=2147483648, d=5.0e-09, t=154.609396
k=64, mu=2147483648, d=5.0e-09, t=130.593802
k=64, mu=2147483648, d=1.5e-08, t=123.921906
k=64, mu=2147483648, d=1.5e-08, t=90.474342
k=64, mu=2147483648, d=1.5e-08, t=180.287645
k=64, mu=2147483648, d=5.0e-08, t=26.673092
k=64, mu=2147483648, d=5.0e-08, t=108.095862
k=64, mu=2147483648, d=5.0e-08, t=154.975317
k=64, mu=3000000000, d=1.0e-10, t=164.420157
k=64, mu=3000000000, d=1.0e-10, t=264.007211
k=64, mu=3000000000, d=1.0e-10, t=210.426895
k=64, mu=3000000000, d=5.0e-09, t=80.179347
k=64, mu=3000000000, d=5.0e-09, t=44.447200
k=64, mu=3000000000, d=5.0e-09, t=92.909871
k=64, mu=3000000000, d=1.5e-08, t=71.262521
k=64, mu=3000000000, d=1.5e-08, t=63.442662
k=64, mu=3000000000, d=1.5e-08, t=39.271078
k=64, mu=3000000000, d=5.0e-08, t=60.993689
k=64, mu=3000000000, d=5.0e-08, t=95.021983
k=64, mu=3000000000, d=5.0e-08, t=155.369766
k=128, mu=500000000, d=1.0e-10, t=198.562110
k=128, mu=500000000, d=1.0e-10, t=157.177532
k=128, mu=500000000, d=1.0e-10, t=240.099542
k=128, mu=500000000, d=5.0e-09, t=50.848874
k=128, mu=500000000, d=5.0e-09, t=115.567134
k=128, mu=500000000, d=5.0e-09, t=106.404727
k=128, mu=500000000, d=1.5e-08, t=158.334909
k=128, mu=500000000, d=1.5e-08, t=121.562793
k=128, mu=500000000, d=1.5e-08, t=90.021834
k=128, mu=500000000, d=5.0e-08, t=115.782491
k=128, mu=500000000, d=5.0e-08, t=24.967936
k=128, mu=500000000, d=5.0e-08, t=72.232945
k=128, mu=1500000000, d=1.0e-10, t=640.080370
k=128, mu=1500000000, d=1.0e-10, t=620.430281
k=128, mu=1500000000, d=1.0e-10, t=241.265169
k=128, mu=1500000000, d=5.0e-09, t=85.957662
k=128, mu=1500000000, d=5.0e-09, t=117.010190
k=128, mu=1500000000, d=5.0e-09, t=106.872570
k=128, mu=1500000000, d=1.5e-08, t=194.196476
k=128, mu=1500000000, d=1.5e-08, t=91.971544
k=128, mu=1500000000, d=1.5e-08, t=161.376541
k=128, mu=1500000000, d=5.0e-08, t=78.235963
k=128, mu=1500000000, d=5.0e-08, t=100.118275
k=128, mu=1500000000, d=5.0e-08, t=6.152440
k=128, mu=2147483648, d=1.0e-10, t=201.850836
k=128, mu=2147483648, d=1.0e-10, t=223.789960
k=128, mu=2147483648, d=1.0e-10, t=135.591957
k=128, mu=2147483648, d=5.0e-09, t=112.593031
k=128, mu=2147483648, d=5.0e-09, t=49.244930
k=128, mu=2147483648, d=5.0e-09, t=56.430873
